388464	Norovirus Hu/G1/cruise ship 155/2004/USA
1882870	Eubyjodonta falcata
225221	Mulinum triacanthum
1860184	Scaeva arctica
1970104	Micromeria xylorrhiza
2838082	Gracilacus pandata
150938	Blastophaga gestroi
184483	Zygnema sp. M 1384
307582	Parasympodiellaceae
1836628	Diaporthe sp. UFMGCB9779
1377902	Uzucha hypoxantha
2877726	Vishniacozyma sp. G7.12
453564	Santalum pilgeri
2565862	Cortinarius olivaceovaginatus
138319	Allium x cornutum
1597085	Formicidae sp. NZAC03011605
2994423	Microsphaera crispula
1306014	Pectinivalva (Menurella) sp. 'Eucalyptus juv.'
1601695	Influenza B virus (B/Trieste/27/02)
1206817	Allorhizobium paknamense
1103267	noctBioLep01 BioLep286
2839091	Peyssonnelia indica
224352	Azalea obtusa
2859602	Laonice sp. f HW-2021
3020626	Unio discus
881919	Plocamionida ambigua f. tylotata
2797237	Forpus xanthopterygius spengeli
119002	Bacillus sp. LMG-19415
687065	Epinotia fortunana
322361	Influenza B virus (B/clinical isolate SA68 Philippines/2002)
2731337	Pseudobactrodesmium
268281	Acia ferruginea
1597680	Salpingidae sp. NZAC03013566
205558	Solanum jasminoides
190277	Rana grylio
1035518	uncultured Hyalodiscus sp.
1436140	Synedra acus
1107817	Argyrodes trigonum
2979768	Capsicum villosum var. muticum
480034	Tritogenaphis escalantii
941324	Rana cancrivora verruculosa
433634	Alcedo coromanda
307163	Mycosphaerella acaciigena
1377717	Paltodora tetrachroa
99479	Candidatus Nostocoides
1331081	Jungermannia turneri
435220	Clupeonia jussieui
248311	Heliconius melpomene cognata
1740036	Influenza A virus (A/Ishikawa/45-389v/2011(H3N2))
414314	Amauromyza (Cephalomyza) monfalconensis
2575787	Anaea hirta
748898	Lumbricus sp. EW-ECO-0371
115935	Arabis holboellii var. pinetorum
473655	Leptophyes nuptialis
2057913	Elfvingia brownii
1055844	Pachypodium rosulatum var. eburneum (Lavranos & Rapanarivo) G.D.Rowley
2057056	Spinapsaron barbatus
3089779	Peponia mackenii
1848406	Isopyrum peltatum
33453	Papilio iulia
