P27434	P27434
P31369	P31369
P31503	P31503
P39880	P39880
P41934	P41934
P53564	P53564
P53565	P53565
P56222	P56222
P56222	P31360
P69736	P69736
P70512	P70512
P70512	O08755
P70512	Q9UBC0
P70512	B2CNW3
P78424	P78424
P78424	A0A6E1XZL4
P9WJA7	P9WJA7
P9WJB7	P9WJB7
P9WMH7	P9WMH7
Q01826	Q01826
Q01851	Q01851
Q06416	Q06416
Q06416	Q01860
Q06416	Q5TM49
Q06416	Q9TSV5
Q06416	B8XIA3
Q06416	O97552
Q06416	B3TPQ9
Q06416	D3U664
Q06416	D5K9Q3
Q06416	D5K9Q6
Q06416	D5K9Q7
Q06416	D5K9Q9
Q06416	D5K9R1
Q06416	D5K9R2
Q06416	D5K9R3
Q06416	D5K9R4
Q06416	D5K9R5
Q06416	D5K9R7
Q06416	D5K9R9
Q06416	D5K9S1
Q06416	E5E7X3
Q06416	E9LR73
Q06416	E9LR75
Q06416	E9LR77
Q06416	E9LR79
Q06416	F6LCA9
Q06416	F6U7N9
Q06416	F8UTI1
Q06416	G3CIS3
Q06416	Q0KKP8
Q06416	D5K9R8
Q12837	Q12837
Q14863	Q14863
Q15319	Q15319
Q15319	Q63955
Q15319	D3ZTL1
Q22812	Q22812
Q46864	Q46864
Q56185	Q56185
Q5IW40	Q5IW40
Q63262	Q63262
Q63934	Q63934
Q6NT76	Q6NT76
Q6NT76	H0YKJ1
Q6NT76	H3BKM3
Q6NT76	K9IXP8
Q6NT76	U6DK41
Q6NT76	Q8BJA3
Q6NT76	E5RGZ2
Q6NT76	H3BK13
Q6NT76	H3BK67
Q6NT76	U3BNX7
Q6NT76	H3BL55
Q7T103	Q7T103
Q8K557	Q8K557
Q8VI24	Q8VI24
Q8VI24	Q9UPW6
Q8VI24	C9JR56
Q8VI24	U3CZ49
Q8VI24	B3KPQ9
Q8VI24	H9EQF6
Q8VI24	Q59FT3
Q8VI24	U6DFA1
Q91989	Q91989
Q9LV58	Q9LV58
Q9UKI9	Q9UKI9
A0A0G2KAN4	A0A0G2KAN4
A0A0G2KAN4	A0A0G2K3R5
A7Y7W2	A7Y7W2
A9A1T2	A9A1T2
D1ZHN6	D1ZHN6
F7ENV6	F7ENV6
H9C180	H9C180
O06581	O06581
O60422	O60422
P00816	P00816
P03024	P03024
P03034	P03034
P03040	P03040
P06020	P06020
P06533	P06533
P0ACP1	P0ACP1
P0ACQ0	P0ACQ0
P36673	P36673
P67697	P67697
P67697	C3TAR7
P67701	P67701
P77626	P77626
P79746	P79746
P9WMI1	P9WMI1
Q03365	Q03365
Q03365	P35680
Q03365	A0A087WZC2
Q03365	U3CQ38
Q03365	Q5RER5
Q07916	Q07916
Q5U2Y2	Q5U2Y2
Q5U2Y2	Q60611
Q5WNW9	Q5WNW9
Q7A224	Q7A224
Q88HH7	Q88HH7
Q9KM69	Q9KM69
Q9TYT0	Q9TYT0
Q9V2G4	Q9V2G4
A0A0A0MT46	A0A0A0MT46
A0A0C4DG88	A0A0C4DG88
A0A0C4DGS8	A0A0C4DGS8
A0A0R4J1Z4	A0A0R4J1Z4
A0A0R4J1Z4	P25425
A0A0R4J1Z4	F8VQL7
A0A167V873	A0A167V873
A0A498M5K1	A0A498M5K1
A0A8I5KYI8	A0A8I5KYI8
A0A8M2BFZ4	A0A8M2BFZ4
A0A8M2BFZ4	P79745
A0QVU1	A0QVU1
B5ME60	B5ME60
C1CYP4	C1CYP4
C1CYP4	Q1J1J5
E0YMJ8	E0YMJ8
F1LRD7	F1LRD7
F1LRD7	A0A0G2K3N5
F1LRD7	Q29076
F1LRD7	Q0VC94
F6XBL0	F6XBL0
M9NEA5	M9NEA5
M9PGW9	M9PGW9
O32236	O32236
O87590	O87590
P03042	P03042
P0A4T1	P0A4T1
P0A9U6	P0A9U6
P0ACN7	P0ACN7
P0ACP5	P0ACP5
P16117	P16117
P21867	P21867
P23737	P23737
P24242	P24242
P25748	P25748
P37517	P37517
P50844	P50844
P69202	P69202
Q3J4E6	Q3J4E6
Q55367	Q55367
Q59948	Q59948
Q5JHP2	Q5JHP2
Q7DDD9	Q7DDD9
Q8DMX7	Q8DMX7
Q8EIX4	Q8EIX4
Q8N7G0	Q8N7G0
Q8NMF0	Q8NMF0
Q97QZ2	Q97QZ2
Q9I063	Q9I063
Q9I1F6	Q9I1F6
A0A0A0MQE0	A0A0A0MQE0
A0A0A0MQM6	A0A0A0MQM6
A0A1C7CYY7	A0A1C7CYY7
A0A1I9LTP8	A0A1I9LTP8
A0A1X7RBJ2	A0A1X7RBJ2
A0A1X7RBJ2	A0A1X7RC50
A0A1X7RBJ2	Q19720
A0A1X7RBK2	A0A1X7RBK2
A0A1X7RBM7	A0A1X7RBM7
A0A1X7RBM7	A0A1X7RBK4
A0A1X7RBM7	A0A1X7RBM0
A0A1X7RBM7	A0A1X7RBS0
A0A1X7RBM7	A0A1X7RC48
A0A1X7RBR4	A0A1X7RBR4
A0A1X7RCT5	A0A1X7RCT5
A0A1X7RCT5	A0A1X7RBJ5
A0A1X7RCT5	A0A1X7RBK3
A0A1X7RCT5	A0A1X7RBN7
A0A1X7RCV1	A0A1X7RCV1
A0A218ZZ45	A0A218ZZ45
A0A286ZM59	A0A286ZM59
A0A287AWG4	A0A287AWG4
A0A2R8Q0A5	A0A2R8Q0A5
A0A2R8QFA5	A0A2R8QFA5
A0A2R8Y852	A0A2R8Y852
A0A2R8YDI1	A0A2R8YDI1
A0A3E2EMR4	A0A3E2EMR4
A0A3M6TEI0	A0A3M6TEI0
A0A498N3F5	A0A498N3F5
A0A7M5VBF4	A0A7M5VBF4
A0A8B6XJ98	A0A8B6XJ98
A0A8I6AEU8	A0A8I6AEU8
A0A8I6AHE9	A0A8I6AHE9
A0A8I6AM13	A0A8I6AM13
A0A8L2QBB2	A0A8L2QBB2
A0A8M1RNM7	A0A8M1RNM7
A0A8M2BJZ7	A0A8M2BJZ7
A0A8M9Q6L3	A0A8M9Q6L3
A0A8M9QCL4	A0A8M9QCL4
A0A8V1ABY3	A0A8V1ABY3
A0A8V1AH91	A0A8V1AH91
A0A8V1AIP8	A0A8V1AIP8
A0A8V1ALE7	A0A8V1ALE7
A0A8V1AMZ7	A0A8V1AMZ7
A0AAA9SAV3	A0AAA9SAV3
A0AB32U133	A0AB32U133
A0AB32U133	E7F4J9
A8GBZ7	A8GBZ7
B7QD53	B7QD53
C0P5I3	C0P5I3
C1D3U5	C1D3U5
E0YMI9	E0YMI9
E9PVB7	E9PVB7
E9PVB7	A0A0G2JYZ8
E9Q6Z8	E9Q6Z8
E9QKE9	E9QKE9
F1RKF9	F1RKF9
F1RKF9	A0A5G2QM40
F5H0K0	F5H0K0
H0YKT2	H0YKT2
H0YLC5	H0YLC5
H0YLF2	H0YLF2
H0YLL6	H0YLL6
H0YNW1	H0YNW1
H3BJQ9	H3BJQ9
H3BJQ9	A0A8I6G4D0
H3BK24	H3BK24
H3BKB7	H3BKB7
H3BKB7	Q63695
H3BKH3	H3BKH3
H3BL72	H3BL72
H3BL72	E0YMI8
H3BLS0	H3BLS0
I1E4X2	I1E4X2
M1S623	M1S623
M1S623	F2Z381
M1S623	A0A2Z6FJW8
M1S623	B5B582
O07008	O07008
O34829	O34829
O53333	O53333
O53467	O53467
P03036	P03036
P03041	P03041
P06153	P06153
P08707	P08707
P09964	P09964
P0A9T6	P0A9T6
P14819	P14819
P15238	P15238
P23789	P23789
P37947	P37947
P46828	P46828
P67700	P67700
P96631	P96631
P96857	P96857
P99175	P99175
P9WMH9	P9WMH9
Q83BT6	Q83BT6
Q88PQ6	Q88PQ6
Q8II81	Q8II81
Q8NP59	Q8NP59
Q9CF33	Q9CF33
Q9KMA5	Q9KMA5
Q9KMG4	Q9KMG4
U3KQN1	U3KQN1
A0A060H7L8	A0A060H7L8
A0A0A0MQH4	A0A0A0MQH4
A0A0D7C0Q9	A0A0D7C0Q9
A0A0E7KI02	A0A0E7KI02
A0A0H2UQ20	A0A0H2UQ20
A0A0H2UR82	A0A0H2UR82
A0A0H2W507	A0A0H2W507
A0A0H3CJW2	A0A0H3CJW2
A0A0H3JSG1	A0A0H3JSG1
A0A0H3JZ73	A0A0H3JZ73
A0A0J9X288	A0A0J9X288
A0A1L1QK15	A0A1L1QK15
A0A1X1LKI5	A0A1X1LKI5
A0A2W0LW10	A0A2W0LW10
A0A381D6S6	A0A381D6S6
A0A498LRJ3	A0A498LRJ3
A0A498N173	A0A498N173
A0A5G2QM16	A0A5G2QM16
A0A5G2QM16	A0A287BNW6
A0A804NM18	A0A804NM18
A0A804NM18	A0A804LX40
A0A8I3B084	A0A8I3B084
A0A8M0FGS8	A0A8M0FGS8
A0A915Q9E7	A0A915Q9E7
A0FIL5	A0FIL5
A0K1X3	A0K1X3
A0QPR6	A0QPR6
A6TKU5	A6TKU5
A6VL88	A6VL88
A8ATW7	A8ATW7
A9CIQ1	A9CIQ1
A9WGF5	A9WGF5
B2JNW3	B2JNW3
B4FGM4	B4FGM4
B4FGM4	B4FI06
B4FGM4	Q6ZAE3
B4FGM4	B6T8B3
B4FGM4	F1DK64
B7PGL8	B7PGL8
B7QF39	B7QF39
B7UL98	B7UL98
B8DV56	B8DV56
B8GD81	B8GD81
B8I1W6	B8I1W6
C4Z801	C4Z801
C5RBT0	C5RBT0
C7MT25	C7MT25
D0VWT6	D0VWT6
D1BJM2	D1BJM2
D3KVD8	D3KVD8
E2JL30	E2JL30
E2JL30	G3UZG9
E3CNF6	E3CNF6
E9RIY8	E9RIY8
F2RCL8	F2RCL8
F2RCL8	Q7AKQ8
F9UL97	F9UL97
F9ULH5	F9ULH5
H3BJ31	H3BJ31
I3TZ89	I3TZ89
J3IU59	J3IU59
L7P845	L7P845
O48503	O48503
O53463	O53463
O54475	O54475
O87366	O87366
P44207	P44207
P9WMI3	P9WMI3
Q036L9	Q036L9
Q03T70	Q03T70
Q04114	Q04114
Q0S5Y9	Q0S5Y9
Q0S9B8	Q0S9B8
Q180H4	Q180H4
Q2K0Z9	Q2K0Z9
Q2T0D1	Q2T0D1
Q32WH4	Q32WH4
Q37964	Q37964
Q45782	Q45782
Q49XF6	Q49XF6
Q4A0A0	Q4A0A0
Q5F9C2	Q5F9C2
Q5FJ32	Q5FJ32
Q5LGD2	Q5LGD2
Q5LKY7	Q5LKY7
Q5LM80	Q5LM80
Q5LU41	Q5LU41
Q5M4D0	Q5M4D0
Q5SK45	Q5SK45
Q5ZSZ8	Q5ZSZ8
Q69XD8	Q69XD8
Q6N370	Q6N370
Q6WRY9	Q6WRY9
Q729U7	Q729U7
Q72E96	Q72E96
Q7CZ24	Q7CZ24
Q7CZ24	A0A2I4PGE9
Q7NTU7	Q7NTU7
Q7X0F0	Q7X0F0
Q82UW4	Q82UW4
Q82X29	Q82X29
Q82ZT5	Q82ZT5
Q835X8	Q835X8
Q83BL4	Q83BL4
Q83VS7	Q83VS7
Q83VS7	P04132
Q83VS9	Q83VS9
Q87JL7	Q87JL7
Q889N2	Q889N2
Q88MI6	Q88MI6
Q8ABY1	Q8ABY1
Q8DWI6	Q8DWI6
Q8EAP9	Q8EAP9
Q8GGH0	Q8GGH0
Q8NNY3	Q8NNY3
Q8NQQ9	Q8NQQ9
Q8NTY1	Q8NTY1
Q8VL32	Q8VL32
Q8YA39	Q8YA39
Q8ZPR1	Q8ZPR1
Q926P6	Q926P6
Q93K36	Q93K36
Q97DC5	Q97DC5
Q980M2	Q980M2
Q9F0J8	Q9F0J8
Q9HVC1	Q9HVC1
Q9KQN0	Q9KQN0
Q9X2H8	Q9X2H8
Q9X7H4	Q9X7H4
Q9XTV4	Q9XTV4
T1S9Z0	T1S9Z0
A0A0B4JDA0	A0A0B4JDA0
A0A0G2JU91	A0A0G2JU91
A0A0G2JU91	A0A8I6GHM0
A0A0G2JU91	D3ZXN9
A0A0G2JV86	A0A0G2JV86
A0A0G2K2A4	A0A0G2K2A4
A0A0G2K736	A0A0G2K736
A0A0G2K736	I2CUD3
A0A0G2K736	U3CBG7
A0A0G2K736	U3DBY8
A0A0G2K736	U3FLA5
A0A0P0UQI8	A0A0P0UQI8
A0A126GUM1	A0A126GUM1
A0A178VEK7	A0A178VEK7
A0A8I6A620	A0A8I6A620
A0A8I6A8R7	A0A8I6A8R7
A0A8I6AN60	A0A8I6AN60
A0A8I6G2K8	A0A8I6G2K8
A0A8V0ZFF5	A0A8V0ZFF5
A0A8V0ZFF5	A0A8V0Z8H3
A0A8V0ZFF5	Q91018
A1Z8A4	A1Z8A4
A6H8Y1	A6H8Y1
A6H8Y1	A0A0G2JNU3
A6H8Y1	B1WB49
A6NCS4	A6NCS4
A6NJ46	A6NJ46
A8MTQ0	A8MTQ0
A8MZ59	A8MZ59
D3ZJF7	D3ZJF7
D3ZU00	D3ZU00
D3ZU00	P48437
D3ZU00	Q92786
D3ZU00	F6QVN8
D3ZU00	U6CWU9
D3ZU00	B3F172
F1QLG5	F1QLG5
F1R2J1	F1R2J1
F1STX7	F1STX7
F1STX7	A0A287A9K0
F1STX7	A8WC96
F1STX7	G9K6Z7
F1STX7	K9J614
F1STX7	K9J612
F4HY56	F4HY56
F4IRB4	F4IRB4
F4JRB0	F4JRB0
F4K5X6	F4K5X6
F6NIA2	F6NIA2
F6NIA2	A0JMQ3
G3XCV0	G3XCV0
G5EC36	G5EC36
G5EC89	G5EC89
G5ED14	G5ED14
G5EDS1	G5EDS1
G5EE86	G5EE86
G5EEA1	G5EEA1
G5EFY5	G5EFY5
L8E946	L8E946
M9PHT1	M9PHT1
M9PHT1	Q8IQA6
M9PHT1	Q8T9N4
M9PHT1	Q9NHX6
O00470	O00470
O00470	Q60954
