human,drosophila,yeast
Q92481,Q59E36,
Q96N22,X2J875,
P31268,Q7YU81,
P49335,Q9Y0W1,
Q15714,Q5U0W8,
Q9UBP5,Q9VLX5,
Q9NP66,Q01842,
P49910,Q9VDK5,
Q14190,Q9VU77,
Q7RTU3,O17468,
Q14186,Q9W1V7,
P52756,Q8INQ7,
Q9Y5A6,Q9W409,
Q6NX49,Q8ST83,
O00321,Q9VWX7,
P14316,P18289,
Q8IYN2,Q961V5,
P32242,Q7K330,
O95625,Q9W4S0,
Q03014,Q9W0U0,
Q96SF7,Q9W3D1,
Q14934,Q9W352,
P10826,Q9VAT1,
Q92731,Q9VEF4,
Q8NDW4,Q24338,
O15266,Q0IGQ2,
O95718,Q9VWT2,
Q9P2N5,O76906,
Q96SL8,P47825,
P49802,Q9W1N1,
Q01201,Q7JW60,
P52926,Q9VGE2,
P57071,Q7KM13,
Q96IS3,Q9VGL2,
P17535,P40798,
Q8WTT2,R9PY21,
Q13886,P10035,
Q9P0W2,Q59E34,
Q6NSZ9,Q9VAM5,
Q75N03,Q9V9V8,
Q9Y543,Q8MSC5,
Q5T481,Q9VKY2,
Q66K89,Q960T3,
P16403,X2JFM8,
Q99594,Q8SWR6,
Q8TE77,Q9VCU6,
Q9UHK0,Q7KT79,
A6NMT0,P05709,
Q13485,P08985,
P01911,P07664,
O14627,Q9VCP5,
O43541,Q9VSF3,
Q8IY51,Q24535,
Q15428,Q4V6X9,
Q92570,P45447,
Q5JVG8,Q9XZS8,
Q14994,P21525,
Q5H9K5,Q8MSD4,
P26651,Q86NW8,
A6NJT0,Q7JUZ9,
Q9UL59,Q9VDF1,
P17041,Q95TL6,
Q6ZMS4,P09085,
P17026,P05084,
P36508,Q9VJL7,
Q15699,Q9VE54,
Q3MJ62,X2J9L4,
Q15797,Q9I7J8,
Q15075,Q9W3D5,
P50553,Q9VHL0,
Q96H86,Q9VK30,
Q2M3W8,Q9XYF7,
O75444,Q24040,
Q9UIE0,Q9VHM4,
Q9UL17,Q7JQI1,
Q14592,X2JE93,
Q9Y2A4,Q960H5,
P17544,A1ZB42,
Q6AZW8,Q9VHG3,
P78332,Q9NJG9,
Q9BQY4,Q9VNC2,
Q3SY56,Q9VR09,
Q8N7Q3,Q9VAH2,
P50549,Q8IRG6,
Q5JUK2,X2JD31,
Q9H2P0,Q03372,
P23759,X2JDV1,
P48431,Q9V574,
P17021,Q960E8,
Q9Y5R5,P09775,
Q13398,Q9Y0A7,
Q9NZR4,Q9VAB8,
Q9UBG7,M9PCS1,
P15924,Q9VPA2,
Q9H0W7,Q9VB55,
P17019,Q960X4,
P31267,Q9W363,
P17040,Q7KSY7,
Q2TB10,Q9VI63,
Q9Y2D1,Q541C3,
Q6ECI4,Q8IPA1,
Q6ZV50,Q9VWS0,
Q8WY36,Q9VTY7,
Q9Y2G7,Q8MYW5,
Q6ZSZ6,X2JFX5,
Q6PF04,Q8T0M4,
Q06889,Q8MT27,
O95947,P29052,
Q14147,Q0KHX8,
Q13562,Q9V410,
Q9NV72,Q8IRR5,
Q93098,Q9VRV4,
P17027,Q9VKN7,
Q8NC24,Q9VPP5,
Q9Y5P8,P25439,
Q86VM9,Q9I7N6,
Q5FWF6,Q9W4S7,
Q02548,Q9VCZ5,
Q14814,Q86P48,
Q9Y2T7,Q8MRT7,
Q9BSK1,Q9VUD3,
P23409,Q9VL14,
P16402,Q9VR21,
P55771,Q9VGQ6,
P51523,Q9VWG2,
Q8N8E2,Q9VG60,
Q9H6E5,X2JI97,
P52945,P09077,
Q8N7M2,Q9VR80,
O14640,Q05783,
Q96T68,Q9VF04,
Q5JVG2,Q9VEA3,
Q12986,X2JCQ6,
Q96RE9,Q9VQZ6,
Q8IWR0,P15619,
O60765,Q9VBR8,
Q03164,Q9GYV9,
Q8N4W9,Q9U3V5,
P25208,Q9W403,
Q68DY9,Q9VFE8,
Q05195,Q9VVR1,
Q7Z2Y5,Q56LI3,
P17036,Q9V464,
Q96K62,Q9VLA6,
P19532,Q9VHY2,
Q86TJ5,Q9VBM8,
Q8TB69,Q9VHM6,
Q5VYS8,Q9VU01,
Q86T24,X2JFJ0,
P08581,P42280,
Q9P2F9,P41894,
Q5SQQ9,Q9VJN5,
Q15583,P49906,
O15499,Q95RX5,
Q9Y2L8,Q9V333,
Q6L8H4,P51023,
Q14590,P20009,
Q15788,P09082,
Q8WZA2,Q9VEC3,
Q96K83,P13098,
P17017,Q8MRF5,
P42224,Q9VRV3,
P54274,Q24142,
Q96NB3,Q9VUR1,
Q15554,Q9I7N9,
Q8IVP9,Q9VK34,
Q15853,Q9VQE8,
Q3KNS6,Q9VD99,
Q8N9Z0,Q9W469,
Q6NT76,Q9VTW5,
Q96HQ0,X2J6Q6,
Q9Y2N7,Q9VK42,
Q8NAF0,Q7K380,
Q15561,Q9VST0,
Q99814,Q05913,
Q9H9D4,P29776,
Q6ZSB9,O17432,
Q03060,Q9VPQ5,
Q14565,Q7K3Q3,
Q96QS3,Q9VUU5,
Q8WY91,Q9VXS6,
P41970,Q7JZC5,
Q9Y242,X2J9X1,
P08651,Q9VI67,
Q8N228,Q8SYH5,
O95600,Q960P7,
Q9Y2H8,Q7KK41,
Q86T29,Q9W3F4,
Q6P1L6,Q9NGY9,
A6NK75,Q94545,
Q9NYW8,Q9W1U7,
Q96SR6,P22807,
Q3MIS6,P35820,
Q9H4I2,P05389,
Q8ND82,Q9VG80,
Q96AP4,Q8SYW8,
P78367,Q9VEN5,
P52746,X2J847,
Q6NX45,R9PY26,
Q8IYX0,Q9VEX9,
Q8IWI9,P16371,
Q5TB30,Q9VIY9,
A0AVK6,Q9VHM7,
Q96RY5,Q9VPH8,
P10074,Q9VGF9,
Q68DE3,Q9VYW2,
Q7Z340,O61734,
P36402,Q9V3J8,
Q15935,Q962I0,
Q9HAZ2,Q4V3F5,
Q12874,Q95RS1,
Q9UC06,Q95RW8,
Q8WTR7,X2JFW6,
Q96NG8,Q9VSV2,
O95251,Q9BII5,
Q14919,Q7YTY9,
Q9NP71,Q9VQ77,
O60519,P07665,
P09630,Q9VZ63,
Q9NZI7,P31264,
P41182,O46043,
Q9H9S0,Q9VD05,
Q01196,P29555,
Q01094,O61735,
Q7Z7K2,Q9VJQ5,
Q96JM2,Q9VBM5,
P78414,Q0IGT0,
Q9ULM3,Q05344,
Q13761,Q9VEP4,
O43157,A8JR17,
P19484,O96880,
Q5TAX3,Q24472,
P61296,Q9XZ19,
P09067,Q8T051,
Q9NR48,Q9VKZ0,
A8MTJ6,Q7K4Y6,
Q8N693,Q95V81,
O43313,O77459,
Q5SVQ8,Q01070,
O15347,Q05192,
Q96NJ6,P18091,
O95619,Q9VJT3,
Q6ZNH5,Q9VQD8,
Q8N883,Q8SYT9,
Q9NP08,P07548,
O75398,Q24143,
Q5F1R6,Q9VKD5,
Q8NFJ8,Q9W458,
O95416,Q7K0S9,
Q9H2Y7,Q9VBN9,
O96004,Q9VXQ6,
Q9UQR1,P39768,
Q5TEA3,X2JDS9,
Q13285,Q9VXB4,
Q96MM3,Q9W4C5,
Q9NPC7,Q8IRH5,
P98182,P49905,
Q5T200,Q9VJP2,
Q96LI6,Q7KF43,
O15409,Q9VA15,
Q9NQB0,Q26263,
Q9Y5V0,Q27869,
Q96NG5,P49869,
Q96NL3,Q9W3J0,
Q6S9Z5,Q541G1,
Q499Z4,Q8T484,
Q9UH73,O46036,
Q92993,Q9VL58,
Q147U1,Q8SXZ6,
Q13133,Q24368,
Q03828,P08266,
P17097,Q9VWP7,
Q9UBC0,Q9W0M3,
Q7Z4V0,Q9W2U6,
Q969J2,Q9W3J4,
Q96GE5,Q9VR03,
Q15937,Q9VH48,
Q8TF50,P35875,
P15918,X2BZL0,
O43167,Q9VW28,
Q99853,Q9W396,
Q9BWE0,Q7KMH5,
P55318,Q9V468,
Q8TAW3,Q94513,
Q6PML9,Q9VCZ4,
Q8IZC7,Q9VQY7,
Q8IUM7,Q9VBR9,
Q86VP1,Q961E2,
Q8N5P1,Q9VEP0,
Q68EA5,Q9VNS0,
P51843,Q8SXR3,
Q9H5L6,Q8T404,
Q8N2I2,Q961B8,
P26583,Q9VKD8,
Q9H171,P56721,
O75820,Q9VDD0,
Q7L2R6,Q9VTE2,
Q8NB50,O96881,
Q96EQ8,Q9W4J1,
Q86XN6,Q9VHM3,
Q2KHR2,P28166,
P51825,Q9VUS0,
Q8IWY8,P22810,
Q9H582,Q9VD81,
Q8TEY5,Q9VEZ8,
Q9Y5Q3,Q9Y1B3,
A0A1B0GTU1,Q960V1,
Q9GZZ0,Q9VJJ6,
P03372,Q9VVS5,
Q86WZ6,Q9VJ73,
Q8NDQ6,Q9VXL5,
Q96JM3,Q8T0P0,
Q8N0Y2,Q7KVB0,
Q9UJW8,Q94883,
Q6U7Q0,Q9VGJ5,
Q9BT49,Q9VM47,
Q8IZ26,Q9VMJ7,
Q96N38,Q9VNI5,
Q13351,Q9VTJ5,
P51814,Q963L0,
P55055,Q9VLN1,
Q9H116,Q9VI24,
P22415,Q9VX08,
Q8N554,Q8T9D1,
Q9UIS9,Q9U4F8,
Q13105,Q9VGZ6,
Q8NFC6,Q541F9,
Q06710,Q9XZ30,
P51522,Q9VHH9,
Q9BPY8,Q7JUR5,
Q96KN3,Q9VWF5,
Q15475,Q9TZQ2,
Q9UL40,Q9W1S2,
Q15928,Q7JVP4,
Q8N680,Q9I7W5,
Q96LX8,Q95RC0,
P98169,P08044,
Q02575,Q24492,
A1YPR0,Q9N6D8,
Q8TA94,Q8T8U8,
Q8IYA7,P32031,
Q9NTI5,Q9VLY3,
Q7RTS1,Q0IGS7,
O14545,Q9VL80,
P28698,Q9W2K3,
P10073,Q8IRH2,
Q8NCK3,P20227,
Q9NZI6,Q9VKH3,
Q9Y508,Q9W4X8,
Q9BRR0,Q9W215,
O96006,Q9W3D4,
P0CG40,Q9W1H0,
Q9H4S2,Q9VQU9,
Q05516,Q9VZ09,
Q86UE3,A8JV07,
Q8NEP9,Q32KD2,
Q969W8,Q9W4V9,
P41212,Q9Y149,
Q53GI3,Q9VYX0,
O14813,Q9VN56,
Q9BRS8,Q9V452,
Q05481,Q95RQ6,
A8MT65,P09081,
Q9NPF5,X2JG46,
Q8NHW3,Q961E6,
Q9BX82,Q9VHA0,
O60548,Q7JR08,
Q96JL9,Q9VST2,
Q8NEZ4,P42124,
Q15466,Q9W2K8,
Q03181,Q9VRV0,
Q9Y6Q3,Q8MRP8,
Q8TD23,Q9VHH7,
P10070,Q9VYL0,
P15173,Q9XYM5,
Q6PKG0,Q8SXB8,
A6NFI3,Q9W3V9,
P11473,Q9VDQ6,
A2RRD8,Q9W1V1,
Q02556,Q8IGX8,
Q8NDP4,Q9W2C1,
P41134,Q9TW47,
Q5VVQ6,Q9W2S3,
Q5T619,Q9GP27,
Q8IX15,Q7M3M8,
Q4G0J3,Q9VJ27,
P17542,Q8IP77,
Q9UKL0,Q9VFB9,
Q05066,Q9VTZ1,
P37275,X2JFL9,
Q06945,Q9VLS5,
Q5JPB2,Q9VZU6,
Q149N8,Q9GQN5,
P62508,Q59E67,
Q53S33,Q9VCN9,
O00358,X2J4N6,
Q5T4S7,X2J9F2,
Q5VTD9,Q9VCG6,
Q9BZE3,P83949,
Q86VE0,Q9W321,
P17509,Q9VUM0,
O95125,P41073,
Q8WW38,X2JEJ3,
P19419,P15370,
Q8TF39,Q9W5W6,
Q14541,Q9W2E3,
P25490,Q9VYI4,
Q15973,Q9W1A8,
Q96N20,Q24533,
Q8N9L1,Q7KRI2,
P06401,Q9VX20,
Q6P995,Q9VBM7,
Q02539,V9H1H6,
Q9NYT0,Q9VSC2,
P59923,Q9VTK6,
P17032,P20232,
Q9HCZ1,Q9VBH3,
O15015,Q9VQ58,
Q9Y2D9,Q9VPI8,
O15226,Q7YU22,
Q96F45,Q9XZC2,
P15621,Q8INE2,
Q9Y6Q9,Q9VI12,
A8MXY4,Q9VRN3,
Q9BZI1,Q24573,
O43435,Q9W3C6,
Q9Y2Y4,Q9V3K3,
P28358,P49847,
Q9NU63,P32029,
Q06413,Q9VRA9,
Q04864,Q7K3G5,
Q15361,Q8T053,
O43361,P14003,
P15408,Q9W5X5,
Q13360,Q9W256,
Q8NAM6,P25992,
Q9BVI0,Q9W0H9,
Q96NC0,Q9V444,
P17096,M9PDD7,
Q6ZNG1,Q9VA17,
Q6ZMY9,Q9VVA0,
Q92922,Q9VC36,
Q9UGU0,P91641,
Q86TJ2,Q2XYL8,
P41235,Q9VHX0,
Q9NQZ8,Q9VE63,
Q9BZS1,Q9VGK7,
Q3T8J9,A1ZAC2,
Q9ULX6,Q9NDJ2,
A1A519,P09089,
Q9UPT8,Q02361,
Q16254,Q9VFX8,
O00716,X2J9B3,
O15541,,
Q6ZSS3,,
O14686,,
P61086,,
Q5HY98,,
Q8N196,,
Q86VZ6,,
Q7RTU1,,
Q99612,,
Q96JN0,,
Q9UNY5,,
Q14781,,
Q32M78,,
Q96PQ6,,
Q01826,,
Q9H2W2,,
Q7Z6R9,,
P98168,,
O43422,,
Q6ZN11,,
Q12968,,
Q01543,,
P15884,,
Q8IX07,,
Q9UFB7,,
P17031,,
O75376,,
P23497,,
Q9UIW0,,
Q12870,,
O15031,,
Q9Y2X9,,
Q8TC21,,
P17676,,
O43296,,
Q6ZN19,,
Q9UEG4,,
Q9HCX3,,
O00232,,
Q9Y5W3,,
O95243,,
Q5H9I0,,
Q06732,,
Q9UIH9,,
O43316,,
Q9Y618,,
Q96JC4,,
Q86XU0,,
O43829,,
Q8N344,,
Q5TC82,,
P07305,,
O14641,,
Q86UK7,,
P17947,,
Q99742,,
P17022,,
Q96SQ5,,
P28347,,
P58317,,
Q9HBT7,,
Q8TDD2,,
Q8TAU3,,
O75717,,
Q9UDV6,,
Q96MU6,,
Q15406,,
Q68CJ9,,
Q8N8Z8,,
O94993,,
P02810,,
P23771,,
Q9NQX0,,
Q96MX3,,
Q9UBR4,,
Q8IXZ2,,
Q12901,,
P51826,,
Q7Z3V5,,
P0C6A0,,
P78426,,
O15178,,
